row_index,actual_label,predicted,dominant_driver,driver_value,tag,reason
64,0,Insoluble,instability_index,42.253,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
66,1,Insoluble,aa_pct_H,6.545,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
67,0,Insoluble,gravy,0.13,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
68,0,Insoluble,molecular_weight,73575.765,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
71,0,Insoluble,instability_index,44.292,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
74,0,Insoluble,fraction_negative,0.106,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
75,0,Insoluble,instability_index,54.263,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
76,0,Insoluble,gravy,0.029,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
77,0,Insoluble,instability_index,47.208,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
79,0,Insoluble,aa_pct_K,9.05,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
80,1,Insoluble,instability_index,45.908,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
81,0,Insoluble,gravy,0.329,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
82,1,Insoluble,gravy,0.002,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
83,1,Insoluble,molecular_weight,45827.645,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
84,0,Insoluble,gravy,1.035,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
86,1,Insoluble,aa_pct_Y,1.313,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
88,1,Insoluble,instability_index,51.411,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
91,1,Insoluble,gravy,0.027,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
94,0,Insoluble,fraction_charged,0.319,Thioredoxin (Trx),"Very high charged-residue fraction suggests charge-driven misfolding; Trx's small, reducing-environment profile helps here."
95,0,Insoluble,instability_index,42.791,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
97,0,Insoluble,instability_index,50.494,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
99,0,Insoluble,gravy,0.124,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
100,0,Insoluble,gravy,0.824,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
101,0,Insoluble,molecular_weight,13183.874,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
102,1,Insoluble,gravy,0.391,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
103,0,Insoluble,instability_index,47.751,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
105,1,Insoluble,molecular_weight,47283.174,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
106,1,Insoluble,instability_index,46.853,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
107,0,Insoluble,gravy,0.265,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
108,1,Insoluble,aa_pct_K,9.322,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
109,0,Insoluble,molecular_weight,48849.004,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
111,0,Insoluble,molecular_weight,49491.724,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
112,0,Insoluble,instability_index,40.873,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
115,0,Insoluble,instability_index,47.193,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
117,0,Insoluble,instability_index,48.035,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
118,0,Insoluble,isoelectric_point,9.553,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
120,0,Insoluble,gravy,0.038,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
121,0,Insoluble,molecular_weight,81959.04,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
122,1,Insoluble,isoelectric_point,4.05,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
123,0,Insoluble,instability_index,40.791,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
126,1,Insoluble,instability_index,45.337,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
128,0,Insoluble,instability_index,46.755,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
129,0,Insoluble,aromaticity,0.129,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
130,0,Insoluble,instability_index,48.018,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
131,0,Insoluble,gravy,0.085,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
132,1,Insoluble,instability_index,40.918,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
135,1,Insoluble,isoelectric_point,6.805,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
137,0,Insoluble,instability_index,51.171,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
138,0,Insoluble,instability_index,43.709,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
139,1,Insoluble,instability_index,49.957,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
141,0,Insoluble,instability_index,49.002,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
142,0,Insoluble,instability_index,40.244,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
145,0,Insoluble,molecular_weight,96833.547,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
146,0,Insoluble,aromaticity,0.17,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
147,0,Insoluble,isoelectric_point,5.29,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
151,0,Insoluble,isoelectric_point,5.13,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
153,0,Insoluble,instability_index,44.899,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
154,1,Insoluble,molecular_weight,44304.351,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
156,0,Insoluble,isoelectric_point,7.771,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
159,0,Insoluble,instability_index,41.449,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
160,0,Insoluble,instability_index,41.768,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
163,0,Insoluble,aromaticity,0.17,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
164,0,Insoluble,isoelectric_point,8.246,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
165,1,Insoluble,aromaticity,0.116,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
168,0,Insoluble,instability_index,50.598,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
169,0,Insoluble,gravy,0.023,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
170,0,Insoluble,instability_index,42.834,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
171,0,Insoluble,molecular_weight,99667.278,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
173,0,Insoluble,molecular_weight,19247.464,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
174,1,Insoluble,instability_index,43.73,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
175,1,Insoluble,aa_pct_R,7.692,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
176,0,Insoluble,instability_index,62.077,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
177,0,Insoluble,gravy,0.946,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
180,1,Insoluble,molecular_weight,129981.164,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
181,0,Insoluble,instability_index,42.774,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
182,0,Insoluble,instability_index,45.873,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
183,0,Insoluble,instability_index,60.494,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
184,0,Insoluble,molecular_weight,54744.693,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
186,1,Insoluble,gravy,0.13,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
187,0,Insoluble,gravy,0.711,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
188,0,Insoluble,gravy,0.858,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
190,1,Insoluble,aa_pct_Y,1.153,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
193,0,Insoluble,instability_index,52.277,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
194,0,Insoluble,molecular_weight,47606.747,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
201,0,Insoluble,instability_index,56.199,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
202,0,Insoluble,molecular_weight,88962.94,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
203,0,Insoluble,molecular_weight,20779.579,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
206,0,Insoluble,molecular_weight,31479.159,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
207,0,Insoluble,aa_pct_K,2.756,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
208,0,Insoluble,molecular_weight,37264.665,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
210,0,Insoluble,gravy,0.151,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
211,0,Insoluble,gravy,0.022,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
213,0,Insoluble,aa_pct_Y,0.772,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
216,1,Insoluble,molecular_weight,54649.665,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
218,0,Insoluble,instability_index,43.741,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
220,0,Insoluble,aa_pct_T,2.397,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
222,0,Insoluble,gravy,0.868,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
223,0,Insoluble,aromaticity,0.151,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
224,1,Insoluble,isoelectric_point,9.402,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
225,0,Insoluble,instability_index,43.708,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
227,0,Insoluble,gravy,0.116,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
229,0,Insoluble,instability_index,40.161,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
231,1,Insoluble,gravy,0.523,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
232,0,Insoluble,gravy,0.133,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
236,0,Insoluble,instability_index,50.868,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
240,0,Insoluble,isoelectric_point,9.744,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
242,1,Insoluble,gravy,0.654,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
244,0,Insoluble,instability_index,48.504,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
246,1,Insoluble,aa_pct_K,2.258,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
247,0,Insoluble,molecular_weight,89986.039,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
248,0,Insoluble,instability_index,42.913,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
249,0,Insoluble,instability_index,42.052,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
250,0,Insoluble,instability_index,41.254,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
252,0,Insoluble,molecular_weight,34293.999,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
253,0,Insoluble,molecular_weight,35199.085,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
255,0,Insoluble,molecular_weight,47008.234,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
258,1,Insoluble,molecular_weight,58360.244,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
259,0,Insoluble,gravy,0.168,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
261,0,Insoluble,molecular_weight,53951.118,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
262,0,Insoluble,gravy,0.023,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
266,1,Insoluble,molecular_weight,15655.614,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
268,0,Insoluble,instability_index,41.451,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
269,0,Insoluble,isoelectric_point,9.439,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
271,0,Insoluble,instability_index,44.64,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
272,0,Insoluble,molecular_weight,42237.046,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
273,0,Insoluble,instability_index,40.005,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
280,1,Insoluble,instability_index,41.749,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
283,0,Insoluble,instability_index,43.484,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
285,1,Insoluble,instability_index,41.867,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
287,1,Insoluble,molecular_weight,68962.012,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
289,0,Insoluble,molecular_weight,80478.054,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
291,0,Insoluble,molecular_weight,39753.357,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
292,1,Insoluble,isoelectric_point,5.13,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
293,0,Insoluble,instability_index,47.569,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
295,0,Insoluble,instability_index,43.505,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
296,0,Insoluble,aromaticity,0.127,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
297,1,Insoluble,gravy,0.056,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
299,0,Insoluble,gravy,0.898,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
300,0,Insoluble,instability_index,46.57,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
301,1,Insoluble,instability_index,55.92,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
303,0,Insoluble,instability_index,40.34,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
